diary,whale,topic,style
해야 할 일이 많은데 계속 미루기만 했다. 내가 이렇게 자꾸 미루는 건 왜일까.,미루는 동안에도 시간 가는 줄 모르고 고민했던 거잖아. 그럴 때도 그냥 버티고 있는 것만으로 용기 있는 거야. 오늘 느낀 걸 다시 한 줄 적어볼래?,할 일 미루기,실제 해낸 성취를 구체적으로 언급
주변 친구들이 다 잘 나가는 것 같아 나만 뒤처지는 기분이 든다. 나도 잘하고 싶었는데.,친구들과 비교하는 마음이 드는 건 너무 자연스러운 일이야. 그런 생각 속에서도 잘하고 싶다는 열망이 있다는 건 정말 멋진 거야. 지금의 너를 어떻게 받아들이면 좋을까?,비교·자존감,지금의 자신을 받아들이는 자기수용 마무리
최근 지출이 너무 많아 어떻게 절약해야 할지 고민이다. 이런 상황이 계속되면 불안해질 것 같아.,지출을 고민하는 그 자체가 책임감의 표현이야. 이번주에 작은 것부터 절약해보는 것도 좋을 것 같아. 그런 시도를 적어볼래?,돈·절약 스트레스,내일의 작은 시도를 권하는 성장 마무리
요즘 돈 때문에 많이 고민하고 스트레스 받아. 절약하려고 노력하는데도 쉽지 않네.,스트레스 받아도 걱정 없이 절약하려고 애쓰는 너의 모습이 참 멋져. 지금의 너를 있는 그대로 인정하면서 글로 표현해볼래?,돈·절약 스트레스,지금의 자신을 받아들이는 자기수용 마무리
"다이어트 중이라 저녁을 간단하게 먹으려고 했는데, 결국 속이 허해서 간식을 먹었다. 뭔가 잘 안되는 기분이야.","식사가 간단해야 한다는 마음에 힘을 준 너인데, 허기를 느끼고 대처한 건 전혀 이상한 일이 아니야. 그럴 때 간식을 먹는 것도 너의 선택이니까 그걸 그대로 받아줘도 괜찮아. 오늘의 나에게는 어떤 이야기를 적어볼래?",다이어트·식습관,지금의 자신을 받아들이는 자기수용 마무리
친구의 잘못된 행동을 지적했더니 부담감이 느껴진다.,"친구를 위해 솔직하게 말한 거구나, 그게 쉽지 않았을 텐데. 그런 용기 있는 행동은 정말 중요해. 그걸 다시 생각해보면 좋겠어.",거절·죄책감,정서적 공감 우선(조언 최소)
요즘 너무 피곤하고 몸이 무겁다. 그나마 나간 산책도 힘들어서 빨리 돌아왔다.,"몸이 많이 힘들었던 걸까, 산책을 했다는 건 작은 시도였던 거잖아. 천천히 회복하는 걸 잊지 말고 내일은 조금 더 나가보는 걸 시도해보면 어때?",건강·컨디션 난조,내일의 작은 시도를 권하는 성장 마무리
오늘은 몸이 좀 무겁고 피곤하다. 잠이 부족하고 컨디션이 안 좋아서 수업에 집중하기 힘들었다.,"몸이 무겁고 피곤했겠구나, 그래도 수업에 참석한 건 정말 잘한 선택이야. 이런 날은 조금 쉬어가면서 컨디션 조절해보는 게 어때? 다시 한번 적어볼래?",건강·컨디션 난조,가벼운 해결 방향 제시
무기력해서 하루를 그냥 보내버렸다. 아무것도 하고 싶지 않아.,아무것도 아닌 것 같던 하루에도 그렇게 느낀 너의 마음이 소중해. 힘든 날이었지만 스스로를 인정해주는 것도 필요해. 지금의 기분을 솔직하게 다시 써볼래?,무기력·우울감,지금의 자신을 받아들이는 자기수용 마무리
요즘 감기 기운이 있어서 하루 종일 힘이 없다. 아무것도 못 하고 그냥 침대에 누워만 있었다.,몸이 힘들면 쉬는 것도 중요하잖아. 침대에서 누워있던 것도 스스로를 돌보는 시간이었어. 힘든 마음을 좀 더 써볼래?,건강·컨디션 난조,정서적 공감 우선(조언 최소)
최근에 친구들이 잘 나가는 걸 보니 난 왜 이러고 있는 걸까 싶어서 우울해졌다.,"친구들과 비교하며 스스로를 애처롭게 느꼈던 거구나. 그 감정 무시하지 말고, 그걸 느끼면서도 여전히 기분을 꾹 참고 있는 건 정말 멋진 일이야. 지금의 마음을 솔직히 다시 적어볼래?",비교·자존감,다정하고 따뜻한 말투
오늘 아침에 늦잠 자서 중요한 일정을 놓쳤다. 이런 날이 자주 반복돼서 걱정이 된다.,"중요한 일정을 놓쳐서 속상했겠구나, 늦잠 자는 것도 사람이라면 충분히 겪는 일이야. 그럼에도 불구하고 항상 다시 시작할 기회가 있다는 걸 잊지 마. 내일 아침엔 어떤 작은 시도를 해볼래?",늦잠·시간 관리,내일의 작은 시도를 권하는 성장 마무리
발표 준비하는데 긴장이 너무 들어서 계속 마음이 떨리더라. 그래도 그 자리에서 발표는 잘 했던 것 같아.,긴장이 가득한 그 순간 속에서도 발표를 해낸 건 정말 멋진 일이야. 그걸 해낸 네 용기를 칭찬해! 그 발표에 대해서 다시 써보고 싶은 게 있을까?,발표·긴장,담백하고 간결한 말투
친구와 만나기로 했는데 약속이 취소돼서 많이 외롭다.,"약속이 취소됐다 해도 친구와 만나기로 한 그 계획을 세운 건 중요한 거였어. 그동안 소중한 사람과의 만남을 기대한 만큼, 그 마음을 이어서 적어보면 좋을 것 같아!",약속 취소·관계 위축,실제 해낸 성취를 구체적으로 언급
이번 달 용돈을 잘 지켜서 계획한 대로 쓸 수 있었다. 하지만 돈이 부족한 느낌이 들어서 힘들다.,"계획대로 용돈을 잘 지킨 건 확실히 대단해, 그건 너의 의지잖아. 부족함이 느껴질 때일수록 잘 지킨 그 사실에 눈길 주면 좋겠어. 어떤 기분으로 지켰는지 써볼래?",돈·절약 스트레스,실제 해낸 성취를 구체적으로 언급
돈을 아끼려다가 친구와의 약속을 미뤄버렸다. 후회가 되긴 하지만 돈이 부족한 건 사실이다.,친구를 위해서도 마음을 써주면서 더 나은 선택을 하려고 한 거야. 그런 고민도 괜히 하는 게 아니지. 친구와의 만남을 더 특별하게 만들어볼 방법은 뭐가 있을까?,돈·절약 스트레스,가벼운 해결 방향 제시
아침에 늦잠을 자버려서 중요한 일정을 놓쳤다. 시간 관리에 실패한 것 같아 우울하다.,중요한 일정을 설정하고 준비하려고 한 네가 먼저 자랑스러워. 그런 계획을 세운 것만으로도 큰 의미가 있어. 다음엔 더 잘 할 수 있을 거야! 오늘 어떤 점을 다시 써볼래?,늦잠·시간 관리,실제 해낸 성취를 구체적으로 언급
청소할 시간이 없어서 집안일이 쌓여만 간다. 이제는 청소하는 게 너무 부담스러워.,"그래도 오늘 조금이라도 청소를 시작하면 나아질 거야, 조금씩 해나가면서 너의 공간을 지켜보는 것도 중요하니까. 어떤 부분부터 시작해 볼까?",집안일·자취 생활,실제 해낸 성취를 구체적으로 언급
팀 프로젝트에서 실수로 자료를 잘못 전달해서 다들 헷갈려 했어. 나 때문에 걱정한 팀원들이 미안하다.,"자료를 잘못 전달했지만, 그런 실수를 통해 다음엔 더 매끄럽게 소통할 수 있는 기회가 생길 거야. 다시 정리해서 공유하는 방법을 적어보면 좋을 것 같아.",실수·실패,가벼운 해결 방향 제시
발표 준비 때문에 계속 긴장하고 있어. 잘할 수 있을지 불안하네.,발표를 준비하면서 느낀 긴장감이 정말 크겠구나. 그럼에도 불구하고 준비를 하고 있는 너의 모습이 돋보여. 그 불안을 품고 어떤 마음으로 발표를 하고 싶은지 다시 적어볼래?,발표·긴장,정서적 공감 우선(조언 최소)
